Date,Close,GDP,Inflation,Interest Rate,VIX,Stock_Returns
2023-05-26,926.9500122070312,5.9,4.418604651,6.5,16.0975,0.006405759179477499
2023-05-29,929.7999877929688,5.9,4.418604651,6.5,16.0975,0.0030745731144139476
2023-05-30,937.4500122070312,5.9,4.418604651,6.5,16.0975,0.008227602188101812
2023-05-31,914.8499755859375,5.9,4.418604651,6.5,16.0975,-0.0241079911747899
2023-06-01,919.7000122070312,6.0,5.572755418,6.5,15.3025,0.005301455703693225
2023-06-02,926.0999755859375,6.0,5.572755418,6.5,15.3025,0.006958750999195962
2023-06-05,950.8499755859375,6.0,5.572755418,6.5,15.3025,0.026724976409097545
2023-06-06,968.2000122070312,6.0,5.572755418,6.5,15.3025,0.01824687076465681
2023-06-07,976.75,6.0,5.572755418,6.5,15.3025,0.008830807359193171
2023-06-08,962.0999755859375,6.0,5.572755418,6.5,15.3025,-0.014998745240913713
2023-06-09,974.75,6.0,5.572755418,6.5,15.3025,0.013148347089769308
2023-06-12,974.2000122070312,6.0,5.572755418,6.5,15.3025,-0.0005642347196396225
2023-06-13,985.8499755859375,6.0,5.572755418,6.5,15.3025,0.011958492335176096
2023-06-14,977.7000122070312,6.0,5.572755418,6.5,15.3025,-0.008266940792956201
2023-06-15,977.1500244140625,6.0,5.572755418,6.5,15.3025,-0.0005625322553972634
2023-06-16,981.5499877929688,6.0,5.572755418,6.5,15.3025,0.004502853470780721
2023-06-19,965.6500244140625,6.0,5.572755418,6.5,15.3025,-0.016198832027554233
2023-06-20,974.8499755859375,6.0,5.572755418,6.5,15.3025,0.009527210624219018
2023-06-21,966.0,6.0,5.572755418,6.5,15.3025,-0.009078294924937724
2023-06-22,966.5999755859375,6.0,5.572755418,6.5,15.3025,0.0006210927390657428
2023-06-23,958.4000244140625,6.0,5.572755418,6.5,15.3025,-0.008483293377805401
2023-06-26,960.5499877929688,6.0,5.572755418,6.5,15.3025,0.00224328393587081
2023-06-27,973.25,6.0,5.572755418,6.5,15.3025,0.01322160467276845
2023-06-28,978.2000122070312,6.0,5.572755418,6.5,15.3025,0.005086064430548376
2023-06-30,987.4500122070312,6.0,5.572755418,6.5,15.3025,0.009456143819841056
2023-07-03,982.0999755859375,5.8,7.544264819,6.5,15.305,-0.005418032867442024
2023-07-04,970.7000122070312,5.8,7.544264819,6.5,15.305,-0.011607742248547437
2023-07-05,966.5,5.8,7.544264819,6.5,15.305,-0.004326787013715916
2023-07-06,980.9500122070312,5.8,7.544264819,6.5,15.305,0.014950866225588388
2023-07-07,976.7000122070312,5.8,7.544264819,6.5,15.305,-0.00433253473379136
2023-07-10,964.0499877929688,5.8,7.544264819,6.5,15.305,-0.012951801224490023
2023-07-11,953.2000122070312,5.8,7.544264819,6.5,15.305,-0.011254577795054677
2023-07-12,950.0,5.8,7.544264819,6.5,15.305,-0.003357125646297421
2023-07-13,960.1500244140625,5.8,7.544264819,6.5,15.305,0.010684236225328991
2023-07-14,957.0499877929688,5.8,7.544264819,6.5,15.305,-0.0032287002471156345
2023-07-17,964.8499755859375,5.8,7.544264819,6.5,15.305,0.008150031756393616
2023-07-18,963.6500244140625,5.8,7.544264819,6.5,15.305,-0.0012436660644016273
2023-07-19,964.2999877929688,5.8,7.544264819,6.5,15.305,0.0006744807372380812
2023-07-20,977.9000244140625,5.8,7.544264819,6.5,15.305,0.014103532918444461
2023-07-21,971.2999877929688,5.8,7.544264819,6.5,15.305,-0.006749193635666728
2023-07-24,971.5,5.8,7.544264819,6.5,15.305,0.00020592217599602058
2023-07-25,962.5,5.8,7.544264819,6.5,15.305,-0.009264024704065843
2023-07-26,976.7999877929688,5.8,7.544264819,6.5,15.305,0.014857130174513067
2023-07-27,959.9000244140625,5.8,7.544264819,6.5,15.305,-0.017301355026724474
2023-07-28,949.9500122070312,5.8,7.544264819,6.5,15.305,-0.010365675543247188
2023-07-31,953.9000244140625,5.8,7.544264819,6.5,15.305,0.004158126381675675
2023-08-01,959.9000244140625,6.1,6.912442396,6.5,14.625,0.006289967340849412
2023-08-02,945.25,6.1,6.912442396,6.5,14.625,-0.015262031504796658
2023-08-03,935.5499877929688,6.1,6.912442396,6.5,14.625,-0.010261848407332685
2023-08-04,952.25,6.1,6.912442396,6.5,14.625,0.017850475575792446
2023-08-07,947.4000244140625,6.1,6.912442396,6.5,14.625,-0.00509317467675241
2023-08-08,952.9000244140625,6.1,6.912442396,6.5,14.625,0.00580536189388603
2023-08-09,950.0,6.1,6.912442396,6.5,14.625,-0.003043366921777313
2023-08-10,939.75,6.1,6.912442396,6.5,14.625,-0.010789473684210571
2023-08-11,937.2000122070312,6.1,6.912442396,6.5,14.625,-0.0027134746400305776
2023-08-14,939.9500122070312,6.1,6.912442396,6.5,14.625,0.0029342722622505146
2023-08-16,933.0499877929688,6.1,6.912442396,6.5,14.625,-0.007340841879304838
2023-08-17,936.5499877929688,6.1,6.912442396,6.5,14.625,0.0037511387876214553
2023-08-18,943.0499877929688,6.1,6.912442396,6.5,14.625,0.006940366328248571
2023-08-21,952.5999755859375,6.1,6.912442396,6.5,14.625,0.01012670369183577
2023-08-22,957.0499877929688,6.1,6.912442396,6.5,14.625,0.004671438506277603
2023-08-23,979.25,6.1,6.912442396,6.5,14.625,0.02319629328685968
2023-08-24,981.3499755859375,6.1,6.912442396,6.5,14.625,0.002144473409178005
2023-08-25,983.0999755859375,6.1,6.912442396,6.5,14.625,0.0017832578015350986
